key,context_level,chain_id_scafold,chain_id_binder,num_subunits,binder_type,size,recovery_rate,sequence_similarity,maximum_recovery_rate,average_multiplicity,average_maximum_confidence,average_maximum_score
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,2,0,4,1,ion,2,0.5,0.5,0.5,1.0,0.9469623565673828,0.8700420695957893
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,1,0,4,1,ion,2,0.5,0.5,0.5,1.0,0.9516360759735107,0.874593381725548
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,0,0,4,1,ion,2,1.0,1.0,1.0,1.0,0.9863803386688232,0.9777808095865914
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,2,0,6,1,ion,4,0.75,0.75,0.75,1.5,0.8877171874046326,0.7647857633493023
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,1,0,6,1,ion,4,0.75,0.75,0.75,1.5,0.8894621133804321,0.7666137373545493
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,0,0,6,1,ion,4,0.25,0.25,0.25,1.0,0.961408257484436,0.8511459209684196
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,2,0,9,1,ligand,6,0.5,0.5,0.5,1.1666666269302368,0.9686777591705322,0.9226301208608634
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,1,0,9,1,ligand,6,0.5,0.5,0.5,1.1666666269302368,0.9685798287391663,0.9227374679606323
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,0,0,9,1,ligand,6,0.8333333134651184,0.8333333333333334,0.8333333134651184,1.0,0.9786450862884521,0.9382159326912868
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,2,0,5,1,ion,5,0.6000000238418579,0.2,0.6000000238418579,1.0,0.9966135025024414,0.989005810170981
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,1,0,5,1,ion,5,0.6000000238418579,0.2,0.6000000238418579,1.0,0.9963139295578003,0.9874208771057347
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,0,0,5,1,ion,5,1.0,0.6,1.0,1.0,0.9866389036178589,0.9764367311689355
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,2,0,7,1,ion,2,1.0,1.0,1.0,1.0,0.9997649192810059,0.9983274771693142
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,1,0,7,1,ion,2,1.0,1.0,1.0,1.0,0.999699056148529,0.9983274771693142
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,0,0,7,1,ion,2,0.5,0.5,0.5,1.0,0.9431955814361572,0.8955260970025347
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,2,0,1,1,ion,6,0.8333333134651184,0.8333333333333334,0.8333333134651184,1.3333333730697632,0.9331619143486023,0.8530264555054813
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,1,0,1,1,ion,6,0.8333333134651184,0.8333333333333334,0.8333333134651184,1.3333333730697632,0.9320916533470154,0.849993690374813
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,0,0,1,1,ion,6,0.5,0.5,0.5,1.0,0.9732394218444824,0.8987807861136701
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,2,0,2,1,ion,4,0.75,0.75,0.75,1.5,0.9057077765464783,0.7949410059192384
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,1,0,2,1,ion,4,0.75,0.75,0.75,1.5,0.9040010571479797,0.7900263388294555
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,0,0,2,1,ion,4,0.5,0.5,0.5,1.0,0.9812531471252441,0.9260214145229031
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,2,0,3,1,ion,2,1.0,0.5,1.0,1.0,0.9913876056671143,0.9638013213086192
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,1,0,3,1,ion,2,1.0,0.5,1.0,1.0,0.9896557331085205,0.9561819124442472
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,0,0,3,1,ion,2,0.5,0.5,0.5,1.0,0.9827849864959717,0.9693937640913242
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,2,0,8,1,ion,2,0.5,0.0,0.5,1.5,0.9364532232284546,0.8844564535273989
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,1,0,8,1,ion,2,0.5,0.0,0.5,1.5,0.9421188831329346,0.8998822817492892
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/6TFF.pdb,0,0,8,1,ion,2,0.5,0.0,1.0,1.5,0.900757908821106,0.7657356755251135
