key,context_level,chain_id_scafold,chain_id_binder,num_subunits,binder_type,size,recovery_rate,sequence_similarity,maximum_recovery_rate,average_multiplicity,average_maximum_confidence,average_maximum_score
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,2,3,8,3,ligand,3,1.0,1.0,1.0,1.0,0.9823688864707947,0.948194369115822
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,1,3,8,3,ligand,3,0.6666666865348816,0.6666666666666666,1.0,1.3333333730697632,0.9174873232841492,0.8490951726005894
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,0,3,8,3,ligand,3,0.3333333432674408,0.3333333333333333,0.3333333432674408,1.0,0.9615830779075623,0.8891338561492041
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,2,3,6,3,rna,20,0.800000011920929,0.8,0.8999999761581421,1.149999976158142,0.968744158744812,0.939071099750256
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,1,3,6,3,rna,20,0.6499999761581421,0.65,0.800000011920929,1.149999976158142,0.9643246531486511,0.921680447432556
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,0,3,6,3,rna,20,0.4000000059604645,0.4,0.44999998807907104,1.100000023841858,0.9637585878372192,0.9009021264011894
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,2,3,0,3,rna,16,0.8125,0.75,0.875,1.0625,0.9765616059303284,0.9495009324484981
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,1,3,0,3,rna,16,0.75,0.6875,0.8125,1.0625,0.9837070107460022,0.9706721255703842
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,0,3,0,3,rna,16,0.375,0.375,0.4375,1.125,0.9225685000419617,0.8457694006417643
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,2,3,4,3,ligand,2,1.0,1.0,1.0,1.0,0.9999679923057556,0.9983884466300401
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,1,3,4,3,ligand,2,1.0,1.0,1.0,1.0,0.9998478889465332,0.9983884466300401
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,0,3,4,3,ligand,2,0.0,0.0,0.0,1.0,0.9978711605072021,0.9955123629168396
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,2,3,5,3,ligand,4,1.0,1.0,1.0,1.0,0.9999668598175049,0.9981796656313722
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,1,3,5,3,ligand,4,1.0,1.0,1.0,1.0,0.9995604753494263,0.9981796656313722
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,0,3,5,3,ligand,4,0.0,0.0,0.25,1.25,0.9651107788085938,0.9063653298105256
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,2,6,3,3,rna,16,0.9375,0.6875,0.9375,1.0625,0.9844526648521423,0.9677015418171969
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,1,6,3,3,rna,16,0.875,0.625,0.875,1.0625,0.9836154580116272,0.9623888701752856
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,0,6,3,3,rna,16,0.125,0.0625,0.125,1.125,0.9412822723388672,0.8744355271633467
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,2,6,8,3,ligand,3,0.6666666865348816,0.3333333333333333,0.6666666865348816,1.0,0.9777552485466003,0.9362630550191154
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,1,6,8,3,ligand,3,0.6666666865348816,0.3333333333333333,0.6666666865348816,1.0,0.9780953526496887,0.9364515661536957
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,0,6,8,3,ligand,3,0.3333333432674408,0.0,0.3333333432674408,1.3333333730697632,0.9369657635688782,0.8332623817843796
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,2,6,0,3,rna,5,0.800000011920929,0.4,0.800000011920929,1.0,0.9833185076713562,0.9610290480132756
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,1,6,0,3,rna,5,0.800000011920929,0.4,0.800000011920929,1.0,0.9858798980712891,0.9668968278259653
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,0,6,0,3,rna,5,0.20000000298023224,0.0,0.20000000298023224,1.0,0.9932986497879028,0.9777456704783608
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,2,6,4,3,ligand,2,1.0,1.0,1.0,1.0,0.9990911483764648,0.9983274771693142
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,1,6,4,3,ligand,2,1.0,1.0,1.0,1.5,0.9518346786499023,0.9003928799319898
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/3B5S.pdb,0,6,4,3,ligand,2,0.0,0.0,0.0,1.0,0.9733925461769104,0.9534029156120603
