key,context_level,chain_id_scafold,chain_id_binder,num_subunits,binder_type,size,recovery_rate,sequence_similarity,maximum_recovery_rate,average_multiplicity,average_maximum_confidence,average_maximum_score
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,2,3,0,4,rna,6,0.8333333134651184,0.5,1.0,1.1666666269302368,0.9495990872383118,0.8887665864890814
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,1,3,0,4,rna,6,0.8333333134651184,0.5,0.8333333134651184,1.0,0.9504715800285339,0.9174481125793646
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,0,3,0,4,rna,6,0.1666666716337204,0.0,0.1666666716337204,1.1666666269302368,0.944094181060791,0.8458887732421317
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,2,3,2,4,rna,18,0.9444444179534912,0.6666666666666666,1.0,1.0555555820465088,0.9790942668914795,0.9530608530880362
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,1,3,2,4,rna,18,0.8888888955116272,0.6111111111111112,0.8888888955116272,1.0555555820465088,0.9659655094146729,0.929864795579562
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,0,3,2,4,rna,18,0.1111111119389534,0.05555555555555555,0.1666666716337204,1.1666666269302368,0.9470254182815552,0.8689726590146145
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,2,3,1,4,rna,2,1.0,0.5,1.0,1.0,0.9974203109741211,0.9913581341980016
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,1,3,1,4,rna,2,1.0,0.5,1.0,1.0,0.9976440072059631,0.9924212650453871
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,0,3,1,4,rna,2,0.0,0.0,0.5,1.5,0.9504228830337524,0.9125620355498179
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,2,2,0,4,rna,4,0.75,0.75,0.75,1.25,0.9144140481948853,0.8484299049266611
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,1,2,0,4,rna,4,0.75,0.75,0.75,1.25,0.9152758121490479,0.8547320732634867
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,0,2,0,4,rna,4,0.0,0.0,0.0,1.25,0.9426822662353516,0.8929598868372051
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,2,2,3,4,rna,16,0.8125,0.8125,0.8125,1.0,0.9870152473449707,0.9744621650504371
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,1,2,3,4,rna,16,0.75,0.75,0.75,1.0625,0.9686388969421387,0.938020133489081
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,0,2,3,4,rna,16,0.25,0.25,0.3125,1.3125,0.9309542775154114,0.8660188766313073
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,2,2,1,4,rna,5,0.800000011920929,0.8,0.800000011920929,1.2000000476837158,0.9314659237861633,0.877944926654824
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,1,2,1,4,rna,5,0.800000011920929,0.8,0.800000011920929,1.2000000476837158,0.9321973919868469,0.8829866613242846
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/2D2K-1-D-C-A-B.pdb,0,2,1,4,rna,5,0.0,0.0,0.0,1.399999976158142,0.9129428863525391,0.8432629489648802
