key,context_level,chain_id_scafold,chain_id_binder,num_subunits,binder_type,size,recovery_rate,sequence_similarity,maximum_recovery_rate,average_multiplicity,average_maximum_confidence,average_maximum_score
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6P.pdb,2,6,4,3,ligand,2,1.0,1.0,1.0,1.0,0.9988757371902466,0.9983274771693142
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6P.pdb,1,6,4,3,ligand,2,1.0,1.0,1.0,1.0,0.9940859079360962,0.9885829189177842
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6P.pdb,0,6,4,3,ligand,2,0.0,0.0,0.0,1.0,0.8156176805496216,0.6387124423595767
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6P.pdb,2,6,8,3,ligand,3,0.6666666865348816,0.6666666666666666,0.6666666865348816,1.0,0.9103507399559021,0.794772161624826
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6P.pdb,1,6,8,3,ligand,3,0.6666666865348816,0.6666666666666666,0.6666666865348816,1.0,0.9078667759895325,0.7912802334705186
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6P.pdb,0,6,8,3,ligand,3,0.3333333432674408,0.0,0.3333333432674408,1.3333333730697632,0.9359284043312073,0.8382858168630837
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6P.pdb,2,6,0,3,rna,5,0.800000011920929,0.4,0.800000011920929,1.0,0.9562500715255737,0.8603015086732924
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6P.pdb,1,6,0,3,rna,5,0.800000011920929,0.4,0.800000011920929,1.2000000476837158,0.9439277648925781,0.8217217772757894
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6P.pdb,0,6,0,3,rna,5,0.20000000298023224,0.0,0.20000000298023224,1.0,0.9957808256149292,0.9865660825254376
/scratch/bibekar/carbonara-rna/model/data/all_bioassemblies/pdbs/4G6P.pdb,2,6,3,3,rna,16,0.875,0.6875,0.875,1.0,0.9869695901870728,0.9605382052251746
